x2d3e7x	8 13	8 14	8 12	   binomial theorem part 3
x2d3e8f	8 14	8 15	8 13	   binomial theorem part 4
x2d3e8u	8 15	8 16	8 14	   middle term of expansion
x2d3jq6	8 16	8 17	8 15	   exercise questions 1 2
x2d3jqu	8 17	8 18	8 16	   exercise questions 3 4
x2d3jrv	8 18	8 19	8 17	   exercise questions 5 7
x2d3jsx	8 19	8 20	8 18	   exercise questions 8 11
x2d3k6r	8 20	8 21	8 19	   exercise questions 12 14
x2ja7vb	8 21	8 22	8 20	   binomial series
x2ja7vg	8 22	8 23	8 21	   summation of binomial series
x2ja7vk	8 23	8 24	8 22	   exercise questions 1 2
x2ja7vt	8 24	8 25	8 23	   exercise questions 3 4
x2ja7w1	8 25	8 26	8 24	   exercise questions 5 7
x2jaabf	8 26	9 1	8 25	   exercise questions 8 9
x1bcjqx	9 1	9 2	8 26	   intro 1
x1bcjs6	9 2	9 3	9 1	   intro 2
x1bckuf	9 3	9 4	9 2	   exercise questions 1 7
x1bckvf	9 4	9 5	9 3	   exercise questions 8 12 tv
x1ok5hb	9 5	9 6	9 4	   trigonometric functions 1 tv
x1ok63l	9 6	9 7	9 5	   trigonometric functions 2 tv
x2w5tva	9 7	9 8	9 6	   fundamental identities
x1ok82z	9 8	9 8	9 7	   signs of trigonometric functions tv
x1okakc	9 8	9 9	9 8	   signs of trigonometric functions tv
x1orxyn	9 9	9 10	9 8	   exercise questions 1 3 tv
x1os57d	9 10	9 11	9 9	   exercise questions 4 5 tv
x1os5ga	9 11	9 12	9 10	   exercise questions 6 8
x1os653	9 12	9 13	9 11	   values of trigonometric functions of acute angles 45 30 60
x1osfbx	9 13	9 14	9 12	   values of trigonometric functions of quadrantal angles 0 90 180 270 360 tv
x1osfhw	9 14	9 15	9 13	   exercise questions 1 2
x1osftp	9 15	9 16	9 14	   exercise questions 3 5
x1osfyl	9 16	9 17	9 15	   exercise questions 1 6
x1osg90	9 17	9 18	9 16	   exercise questions 7 12
x1osgg1	9 18	10 1	9 17	   exercise questions 13 24
x23ibxg	10 1	10 2	9 18	   fundamental law of trigonometry part 1 tv
x23iby3	10 2	10 3	10 1	   fundamental law of trigonometry part 2 tv
x23ibyc	10 3	10 4	10 2	   deductions from fundamental law part 1 tv
x23ibyp	10 4	10 5	10 3	   deductions from fundamental law part 2 tv
x23ibz5	10 5	10 6	10 4	   trigonometric ratios of allied angles part 1 tv
x23ic7g	10 6	10 7	10 5	   trigonometric ratios of allied angles part 2 tv
x23irmh	10 7	10 8	10 6	   exercise questions 1 tv
x23r7sg	10 8	10 9	10 7	   exercise questions 2 tv
x23r7t4	10 9	10 10	10 8	   exercise questions 3 tv
x23r7tl	10 10	10 11	10 9	   exercise questions 4 tv
x23r7u9	10 11	10 12	10 10	   exercise questions 5 tv
x23r9nm	10 12	10 13	10 11	   exercise questions 1 2 tv
x23r9nx	10 13	10 14	10 12	   exercise questions 3 4 tv
